Gender,MaritalStatus,Age,Accommodation,Faculty,SecSchType ,HealthCondition, LevelOfStudy,LectureAttend,ClassActive,LateFreq,StudyHours,CGPA,TechUtilization,EmpStatus,SocialMedia,StressMang,SadFreq,StudentAssoc,ExtracurricularAct,YearsBefAdmission,FamilySize,SponsorType,SponsorIncome,SponsorSupport, HomeResp,ProgramPref,OnlineResources,TeachStaffComp,QualityOfFacilities,ClassSize,InternetAccess,LecClarification,LecSupport,TeachnApproach,TeachnResources,TopicDensity,LecAbsFreq,LecPuctuality,TeachExperience
Male,Single,31-35,Living with family/relatives,Physical Sciences,Public,No,500,Strongly disagree,Occasionally,Rarely,Less than 5 hours,3.50 - 4.49,Frequently,No,1-2 hours,Very high,Sometimes,No,Never,1-2 years,1-4 members,Guardian,"Above N150,000",Low,Very frequently,Yes,Good,Good,Good,Yes,Strongly disagree,Good,Good,Occasionally,Frequently,Disagree,Disagree,Agree,Good
Male,Single,31-35,Off-campus,Physical Sciences,Public,No,500,Disagree,Frequently,Once a week,Less than 5 hours,3.50 - 4.49,Very frequently,No,1-2 hours,Very high,Often,No,Never,1-2 years,5-9 members,Guardian,"Above N150,000",Low,Very frequently,Yes,Good,Good,Good,Yes,Strongly disagree,Good,Good,Frequently,Frequently,Agree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Physical Sciences,Private,No,300,Agree,Never,Almost every day,Less than 5 hours,2.40 - 3.49,Never,Yes,More than 4 hours,Moderate,Sometimes,Yes,Occasionally,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Average,Average,Poor,No,Strongly disagree,Average,Good,Occasionally,Never,Agree,Agree,Strongly agree,Excellent
Female,Single,21-25,On-campus,Life Sciences,Public,No,500,Disagree,Never,Never,Less than 5 hours,1.50 - 2.39,Frequently,No,3-4 hours,Moderate,Sometimes,No,Never,1-2 years,Above 9 members,Parents,"Below N80,000",Low,Not at all,Yes,Poor,Good,Average,Yes,Agree,Good,Excellent,Always,Always,Disagree,Disagree,Disagree,Excellent
Male,Single,16-20,Off-campus,Physical Sciences,Private,No,200,Agree,Rarely,Almost every day,Less than 5 hours,2.40 - 3.49,Frequently,No,3-4 hours,Very high,Sometimes,No,Rarely,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",High,Occasionally,No,Good,Good,Good,Yes,Disagree,Average,Good,Occasionally,Occasionally,Disagree,Strongly disagree,Disagree,Good
Male,Single,26-30,Off-campus,Physical Sciences,Public,No,300,Agree,Occasionally,Once a week,Less than 5 hours,1.50 - 2.39,Frequently,No,3-4 hours,Moderate,Sometimes,No,Occasionally,Less than 1 year,Above 9 members,Parents,"Below N80,000",Low,Frequently,Yes,Good,Excellent,Good,No,Disagree,Excellent,Excellent,Always,Frequently,Agree,Disagree,Strongly disagree,Excellent
Male,Single,26-30,Living with family/relatives,Physical Sciences,Public,No,500,Agree,Occasionally,Twice a week,Less than 5 hours,2.40 - 3.49,Occasionally,No,Less than 1 hour,Moderate,Sometimes,Yes,Never,2-3 years,1-4 members,Self-sponsored,"Below N80,000",Low,Very frequently,No,Average,Excellent,Average,Yes,Disagree,Excellent,Excellent,Always,Occasionally,Strongly agree,Agree,Agree,Excellent
Male,Single,16-20,On-campus,Physical Sciences,Private,No,200,Agree,Occasionally,Rarely,10-15 hours,2.40 - 3.49,Frequently,No,3-4 hours,Moderate,Sometimes,No,Occasionally,1-2 years,5-9 members,Parents,"Below N80,000",Average,Frequently,Yes,Good,Good,Good,No,Disagree,Good,Good,Occasionally,Occasionally,Agree,Strongly agree,Agree,Average
Female,Single,16-20,Off-campus,Physical Sciences,Private,No,200,Agree,Occasionally,Rarely,Less than 5 hours,2.40 - 3.49,Frequently,Yes,Less than 1 hour,Moderate,Sometimes,No,Rarely,Less than 1 year,Above 9 members,Parents,"N80,000 - N150,000",Average,Occasionally,Yes,Good,Good,Good,No,Disagree,Good,Good,Occasionally,Always,Agree,Agree,Disagree,Good
Male,Single,16-20,On-campus,Physical Sciences,Private,No,200,Agree,Rarely,Once a week,5-10 hours,2.40 - 3.49,Occasionally,No,More than 4 hours,High,Sometimes,No,Never,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",High,Frequently,Yes,Average,Excellent,Average,No,Disagree,Good,Excellent,Always,Frequently,Strongly agree,Agree,Agree,Excellent
